,№ вопроса,Значение p,Скорректированное значение p,Кластер 0,Кластер 1,Кластер 2
11,12,1.753421652251613e-18,3.857527634953549e-17,"{'count': 133.0, 'mean': 2.7293233082706765, 'std': 1.4930537120626712, 'min': 1.0, '25%': 1.0, '50%': 3.0, '75%': 4.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.535532994923858, 'std': 1.4963930662871399, 'min': 1.0, '25%': 2.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 4.057591623036649, 'std': 1.2640112215576276, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}"
12,13,2.796821806660675e-62,6.153007974653485e-61,"{'count': 133.0, 'mean': 1.9849624060150375, 'std': 1.114538648989409, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 3.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.281725888324873, 'std': 1.214551746541841, 'min': 1.0, '25%': 2.0, '50%': 3.0, '75%': 4.0, 'max': 5.0}","{'count': 382.0, 'mean': 1.780104712041885, 'std': 0.86265292426721, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 2.0, 'max': 5.0}"
13,14,0.9422578242142976,1.0,"{'count': 133.0, 'mean': 3.5789473684210527, 'std': 1.4678913257386015, 'min': 1.0, '25%': 2.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.5964467005076144, 'std': 1.337304859970434, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 3.5706806282722514, 'std': 1.482701321935725, 'min': 1.0, '25%': 2.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}"
14,15,4.19355207252923e-15,9.225814559564306e-14,"{'count': 133.0, 'mean': 3.5864661654135337, 'std': 1.354721371044515, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 394.0, 'mean': 4.444162436548224, 'std': 0.8059441598612193, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 3.892670157068063, 'std': 1.2064997598199672, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}"
15,16,3.3054242817737038e-34,7.271933419902148e-33,"{'count': 133.0, 'mean': 2.744360902255639, 'std': 1.4177133495492276, 'min': 1.0, '25%': 2.0, '50%': 2.0, '75%': 4.0, 'max': 5.0}","{'count': 394.0, 'mean': 4.129441624365482, 'std': 1.1010040261235938, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 3.0026178010471205, 'std': 1.462566491028586, 'min': 1.0, '25%': 2.0, '50%': 3.0, '75%': 4.0, 'max': 5.0}"
16,17,2.4846799018941267e-12,5.466295784167079e-11,"{'count': 133.0, 'mean': 3.082706766917293, 'std': 1.1937026226165972, 'min': 1.0, '25%': 2.0, '50%': 3.0, '75%': 4.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.713197969543147, 'std': 1.1985905320447494, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 3.9659685863874348, 'std': 1.089869350477541, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}"
17,18,1.844903428754982e-69,4.0587875432609604e-68,"{'count': 133.0, 'mean': 1.9699248120300752, 'std': 1.3592547513812212, 'min': 1.0, '25%': 1.0, '50%': 1.0, '75%': 3.0, 'max': 5.0}","{'count': 394.0, 'mean': 4.469543147208122, 'std': 0.9937905403467552, 'min': 1.0, '25%': 4.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 4.683246073298429, 'std': 0.6614086114970779, 'min': 1.0, '25%': 5.0, '50%': 5.0, '75%': 5.0, 'max': 5.0}"
18,19,1.214196779123936e-21,2.6712329140726595e-20,"{'count': 133.0, 'mean': 2.3909774436090228, 'std': 1.2542931515771796, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 3.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.3248730964467006, 'std': 1.3632921570532894, 'min': 1.0, '25%': 2.0, '50%': 4.0, '75%': 4.0, 'max': 5.0}","{'count': 382.0, 'mean': 3.756544502617801, 'std': 1.179837880610509, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}"
19,20,1.3503162720499322e-13,2.970695798509851e-12,"{'count': 133.0, 'mean': 3.9323308270676693, 'std': 1.2803615062528264, 'min': 1.0, '25%': 4.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.2411167512690353, 'std': 1.4603268383769654, 'min': 1.0, '25%': 2.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 3.994764397905759, 'std': 1.1637453437869718, 'min': 1.0, '25%': 4.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}"
20,21,7.812488426703317e-29,1.7187474538747295e-27,"{'count': 133.0, 'mean': 2.045112781954887, 'std': 1.2724627853945956, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 3.0, 'max': 5.0}","{'count': 394.0, 'mean': 2.9771573604060912, 'std': 1.474804870211698, 'min': 1.0, '25%': 2.0, '50%': 3.0, '75%': 4.0, 'max': 5.0}","{'count': 382.0, 'mean': 1.8455497382198953, 'std': 1.1292896456706023, 'min': 1.0, '25%': 1.0, '50%': 1.0, '75%': 2.0, 'max': 5.0}"
21,22,5.09872232820821e-49,1.1217189122058063e-47,"{'count': 133.0, 'mean': 1.894736842105263, 'std': 1.2139539573337679, 'min': 1.0, '25%': 1.0, '50%': 1.0, '75%': 3.0, 'max': 5.0}","{'count': 394.0, 'mean': 3.7588832487309647, 'std': 1.403461649675731, 'min': 1.0, '25%': 3.0, '50%': 4.0, '75%': 5.0, 'max': 5.0}","{'count': 382.0, 'mean': 2.277486910994764, 'std': 1.4477663014477722, 'min': 1.0, '25%': 1.0, '50%': 2.0, '75%': 3.0, 'max': 5.0}"
